source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","bdfe673a-8f75-400a-b541-54297572f5e8","eth-zurich-branco-weiss-fellowships-at-university-of-melbourne-2026-eth-zurich-branco-weiss-fellowsh","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","bdfe673a-8f75-400a-b541-54297572f5e8","eth-zurich-branco-weiss-fellowships-at-university-of-melbourne-2026-eth-zurich-branco-weiss-fellowsh","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","34729e4b-2dc9-4636-9e5a-0f9fc68b53d1","scottish-qualifications-authority-sqa-advanced-diploma-scholarship-at-un-scottish-qualifications-authorit","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","34729e4b-2dc9-4636-9e5a-0f9fc68b53d1","scottish-qualifications-authority-sqa-advanced-diploma-scholarship-at-un-scottish-qualifications-authorit","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","0f276684-1eeb-40db-aae7-d813f3ddf3d3","military-scholarship-at-bayes-business-school-2026-military-scholarship","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","0f276684-1eeb-40db-aae7-d813f3ddf3d3","military-scholarship-at-bayes-business-school-2026-military-scholarship","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","bdda9de5-d805-4ba9-b703-fc02b9fad6f0","extremity-scholarship-x5vtcymzr20p","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","bdda9de5-d805-4ba9-b703-fc02b9fad6f0","extremity-scholarship-x5vtcymzr20p","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","2062dd57-00d8-47a7-aeca-4d12090f9674","college-support-scholarship-wnnkud6s4gdi","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","2062dd57-00d8-47a7-aeca-4d12090f9674","college-support-scholarship-wnnkud6s4gdi","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","5beb1686-595e-423f-8306-70aef123aeee","yankton-sioux-tribe-higher-education-scholarship-vmafrj5qsmso","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","5beb1686-595e-423f-8306-70aef123aeee","yankton-sioux-tribe-higher-education-scholarship-vmafrj5qsmso","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","df972402-ba14-4d43-91bb-6a748b9e3c95","sna-foundation-scholarship-v5ervquxaagx","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","df972402-ba14-4d43-91bb-6a748b9e3c95","sna-foundation-scholarship-v5ervquxaagx","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4fb9358e-bed8-4dd8-ab94-38ef73760c22","va-acme-veteran-or-retiree-of-the-armed-forces-scholarship-urwapenjx8p4","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4fb9358e-bed8-4dd8-ab94-38ef73760c22","va-acme-veteran-or-retiree-of-the-armed-forces-scholarship-urwapenjx8p4","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4dbdea62-dd7a-4687-9c9f-cedb18c683e1","barb-miller-scholarship-rc5tiqhcfz27","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4dbdea62-dd7a-4687-9c9f-cedb18c683e1","barb-miller-scholarship-rc5tiqhcfz27","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","ad2065d8-9cd0-4a2b-b0a6-187be5cd8cd7","ava-doner-memorial-undergraduate-scholarship-qvuelwz1paaa","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","ad2065d8-9cd0-4a2b-b0a6-187be5cd8cd7","ava-doner-memorial-undergraduate-scholarship-qvuelwz1paaa","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","579d9ac5-a9e1-4879-9c68-22b862e029f4","cedarcrest-farms-scholarship-pmrrbt90mkyu","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","579d9ac5-a9e1-4879-9c68-22b862e029f4","cedarcrest-farms-scholarship-pmrrbt90mkyu","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","22b90e64-6b72-4dbb-a248-20f0981766f3","v-l-peterson-scholarship-otrezcsijlh2","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","22b90e64-6b72-4dbb-a248-20f0981766f3","v-l-peterson-scholarship-otrezcsijlh2","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","7c172c10-2629-44f8-9134-d9bfe3574f6a","va-acme-active-duty-drilling-reservist-or-national-guard-member-scholars-nwmclhz9gqem","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","7c172c10-2629-44f8-9134-d9bfe3574f6a","va-acme-active-duty-drilling-reservist-or-national-guard-member-scholars-nwmclhz9gqem","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","3c99ad8a-654d-4d16-bc98-e5e9e6eca745","paul-jackson-memorial-scholarship-k9kngykb0tpk","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","3c99ad8a-654d-4d16-bc98-e5e9e6eca745","paul-jackson-memorial-scholarship-k9kngykb0tpk","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","10a6a25e-89d2-4d57-ae78-50a266f1fa41","ajca-directors-scholarship-getkhbl4dqtl","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","10a6a25e-89d2-4d57-ae78-50a266f1fa41","ajca-directors-scholarship-getkhbl4dqtl","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","611a918f-e68c-4f6e-bb06-149ba4790623","neil-moodhe-scholarship-g5j8harpvemy","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","611a918f-e68c-4f6e-bb06-149ba4790623","neil-moodhe-scholarship-g5j8harpvemy","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","7bb554e8-b190-4a9a-a7db-14f34db47f26","amvets-national-ladies-auxiliary-scholarship-ej6yziejp3zb","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","7bb554e8-b190-4a9a-a7db-14f34db47f26","amvets-national-ladies-auxiliary-scholarship-ej6yziejp3zb","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4fdeea9a-07cd-4afd-a614-6c2013f36cf6","permanently-disabled-military-or-their-family-or-family-of-service-membe-e4lc4r9kkdz0","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","4fdeea9a-07cd-4afd-a614-6c2013f36cf6","permanently-disabled-military-or-their-family-or-family-of-service-membe-e4lc4r9kkdz0","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","9011f39f-5d0c-494f-b061-5aa7c1c3c9c2","los-angeles-chapter-wts-community-college-trade-school-scholarship-drunpttfavz6","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","9011f39f-5d0c-494f-b061-5aa7c1c3c9c2","los-angeles-chapter-wts-community-college-trade-school-scholarship-drunpttfavz6","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","1427c909-3ff5-4242-bca1-b033bb2903ba","united-public-service-employees-union-scholarship-bvbtfduzro2o","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","1427c909-3ff5-4242-bca1-b033bb2903ba","united-public-service-employees-union-scholarship-bvbtfduzro2o","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","5cd3909c-6a1f-4712-8c15-37689ea4df88","morris-b-ewing-abs-genetic-performance-scholarship-bkmaohibmimr","es","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","5cd3909c-6a1f-4712-8c15-37689ea4df88","morris-b-ewing-abs-genetic-performance-scholarship-bkmaohibmimr","fr","published","90","stage5e-scholarship-autopilot-wave-9"
"scholarship_detail","a267875c-0573-4124-8b8b-7f24d8a3d556","napa-county-hispanic-network-college-scholarship-am7adbmov0nu","es","published","90","stage5e-scholarship-autopilot-wave-9"
