source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","bda21be5-a833-4b22-8c7a-fb3eecdec9e9","joseph-t-culliton-award-in-the-humanities-at-university-of-windsor-2026-joseph-t-culliton-award-in-the-h","es","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","bda21be5-a833-4b22-8c7a-fb3eecdec9e9","joseph-t-culliton-award-in-the-humanities-at-university-of-windsor-2026-joseph-t-culliton-award-in-the-h","fr","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","03716b61-31a0-4e0b-9792-4297062f61c0","gerald-d-erickson-bursary-at-university-of-windsor-2026-gerald-d-erickson-bursary-at-uni","es","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","03716b61-31a0-4e0b-9792-4297062f61c0","gerald-d-erickson-bursary-at-university-of-windsor-2026-gerald-d-erickson-bursary-at-uni","fr","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","f1f32034-f05e-4d7c-95fe-c0697b805a19","frank-j-ewasyshyn-electrical-engineering-in-course-scholarship-at-univer-frank-j-ewasyshyn-electrical-eng","es","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","f1f32034-f05e-4d7c-95fe-c0697b805a19","frank-j-ewasyshyn-electrical-engineering-in-course-scholarship-at-univer-frank-j-ewasyshyn-electrical-eng","fr","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","f6e4e6bc-6aad-4fc3-a215-9fb2f811a7db","faculty-of-arts-memorial-awards-at-university-of-windsor-2026-faculty-of-arts-memorial-awards-","es","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","f6e4e6bc-6aad-4fc3-a215-9fb2f811a7db","faculty-of-arts-memorial-awards-at-university-of-windsor-2026-faculty-of-arts-memorial-awards-","fr","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","c7f1fb7c-7045-467f-8b46-c5c4cf0be378","douglas-davies-memorial-bursary-at-university-of-windsor-2026-douglas-davies-memorial-bursary-","es","published","90","stage5e-scholarship-autopilot-wave-4"
"scholarship_detail","c7f1fb7c-7045-467f-8b46-c5c4cf0be378","douglas-davies-memorial-bursary-at-university-of-windsor-2026-douglas-davies-memorial-bursary-","fr","published","90","stage5e-scholarship-autopilot-wave-4"
