source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","25ffe19f-ff85-4cd5-9811-ff7db99f78c9","wisconsin-national-guard-association-education-scholarship-8abkdoddfdhh","es","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","25ffe19f-ff85-4cd5-9811-ff7db99f78c9","wisconsin-national-guard-association-education-scholarship-8abkdoddfdhh","fr","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","9bc173ac-d7b2-460f-a2f8-8140ed4afba9","elizabeth-tilley-howland-scholarship-7zwthyldr7f9","es","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","9bc173ac-d7b2-460f-a2f8-8140ed4afba9","elizabeth-tilley-howland-scholarship-7zwthyldr7f9","fr","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","9b322eb6-c2da-4ec1-bd42-0c47de8807b4","reuben-r-cowles-youth-award-scholarship-5pg8fmizpb1l","es","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","9b322eb6-c2da-4ec1-bd42-0c47de8807b4","reuben-r-cowles-youth-award-scholarship-5pg8fmizpb1l","fr","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","382e9880-8016-4229-a40c-5b5eb5a47a3a","fsga-foundation-club-employees-and-dependents-scholarship-5wcdxe9ktq9p","es","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","382e9880-8016-4229-a40c-5b5eb5a47a3a","fsga-foundation-club-employees-and-dependents-scholarship-5wcdxe9ktq9p","fr","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","f1f1cad1-d07d-4711-8b81-00542424ec3d","lineweaver-scholarship-4kqa80o59ags","es","published","90","stage5e-scholarship-autopilot-wave-10"
"scholarship_detail","f1f1cad1-d07d-4711-8b81-00542424ec3d","lineweaver-scholarship-4kqa80o59ags","fr","published","90","stage5e-scholarship-autopilot-wave-10"
