canonical_path,group,en_url,es_url,fr_url,es_published,fr_published,indexable,en_sitemap,es_sitemap,fr_sitemap,hreflang_complete,notes
/compare/local-vs-national-scholarships,static-compare-guide,https://scholarshiptop.com/compare/local-vs-national-scholarships,https://scholarshiptop.com/es/compare/local-vs-national-scholarships,https://scholarshiptop.com/fr/compare/local-vs-national-scholarships,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/outline,static-essay-guide,https://scholarshiptop.com/essays/outline,https://scholarshiptop.com/es/essays/outline,https://scholarshiptop.com/fr/essays/outline,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/leadership,static-essay-guide,https://scholarshiptop.com/essays/leadership,https://scholarshiptop.com/es/essays/leadership,https://scholarshiptop.com/fr/essays/leadership,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/why-do-you-deserve-this-scholarship,static-essay-guide,https://scholarshiptop.com/essays/why-do-you-deserve-this-scholarship,https://scholarshiptop.com/es/essays/why-do-you-deserve-this-scholarship,https://scholarshiptop.com/fr/essays/why-do-you-deserve-this-scholarship,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/personal-statement,static-essay-guide,https://scholarshiptop.com/essays/personal-statement,https://scholarshiptop.com/es/essays/personal-statement,https://scholarshiptop.com/fr/essays/personal-statement,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/stem,static-essay-guide,https://scholarshiptop.com/essays/stem,https://scholarshiptop.com/es/essays/stem,https://scholarshiptop.com/fr/essays/stem,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/essays/no-essay-scholarships,static-essay-guide,https://scholarshiptop.com/essays/no-essay-scholarships,https://scholarshiptop.com/es/essays/no-essay-scholarships,https://scholarshiptop.com/fr/essays/no-essay-scholarships,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/how-to-find-scholarships,static-resource-guide,https://scholarshiptop.com/resources/how-to-find-scholarships,https://scholarshiptop.com/es/resources/how-to-find-scholarships,https://scholarshiptop.com/fr/resources/how-to-find-scholarships,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/how-to-apply-for-scholarships-checklist,static-resource-guide,https://scholarshiptop.com/resources/how-to-apply-for-scholarships-checklist,https://scholarshiptop.com/es/resources/how-to-apply-for-scholarships-checklist,https://scholarshiptop.com/fr/resources/how-to-apply-for-scholarships-checklist,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/no-essay-scholarships-guide,static-resource-guide,https://scholarshiptop.com/resources/no-essay-scholarships-guide,https://scholarshiptop.com/es/resources/no-essay-scholarships-guide,https://scholarshiptop.com/fr/resources/no-essay-scholarships-guide,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/easy-scholarships-guide,static-resource-guide,https://scholarshiptop.com/resources/easy-scholarships-guide,https://scholarshiptop.com/es/resources/easy-scholarships-guide,https://scholarshiptop.com/fr/resources/easy-scholarships-guide,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/stem-scholarships-guide,static-resource-guide,https://scholarshiptop.com/resources/stem-scholarships-guide,https://scholarshiptop.com/es/resources/stem-scholarships-guide,https://scholarshiptop.com/fr/resources/stem-scholarships-guide,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarships-in-usa-for-international-students,static-resource-guide,https://scholarshiptop.com/resources/scholarships-in-usa-for-international-students,https://scholarshiptop.com/es/resources/scholarships-in-usa-for-international-students,https://scholarshiptop.com/fr/resources/scholarships-in-usa-for-international-students,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarships-for-high-school-seniors,static-resource-guide,https://scholarshiptop.com/resources/scholarships-for-high-school-seniors,https://scholarshiptop.com/es/resources/scholarships-for-high-school-seniors,https://scholarshiptop.com/fr/resources/scholarships-for-high-school-seniors,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarship-eligibility-explained,static-resource-guide,https://scholarshiptop.com/resources/scholarship-eligibility-explained,https://scholarshiptop.com/es/resources/scholarship-eligibility-explained,https://scholarshiptop.com/fr/resources/scholarship-eligibility-explained,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarship-documents-checklist,static-resource-guide,https://scholarshiptop.com/resources/scholarship-documents-checklist,https://scholarshiptop.com/es/resources/scholarship-documents-checklist,https://scholarshiptop.com/fr/resources/scholarship-documents-checklist,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/how-to-apply-for-scholarships,static-resource-guide,https://scholarshiptop.com/resources/how-to-apply-for-scholarships,https://scholarshiptop.com/es/resources/how-to-apply-for-scholarships,https://scholarshiptop.com/fr/resources/how-to-apply-for-scholarships,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarship-deadlines-explained,static-resource-guide,https://scholarshiptop.com/resources/scholarship-deadlines-explained,https://scholarshiptop.com/es/resources/scholarship-deadlines-explained,https://scholarshiptop.com/fr/resources/scholarship-deadlines-explained,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/combine-multiple-scholarships,static-resource-guide,https://scholarshiptop.com/resources/combine-multiple-scholarships,https://scholarshiptop.com/es/resources/combine-multiple-scholarships,https://scholarshiptop.com/fr/resources/combine-multiple-scholarships,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/medical-scholarships-guide,static-resource-guide,https://scholarshiptop.com/resources/medical-scholarships-guide,https://scholarshiptop.com/es/resources/medical-scholarships-guide,https://scholarshiptop.com/fr/resources/medical-scholarships-guide,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/resources/scholarships-for-international-students-guide,static-resource-guide,https://scholarshiptop.com/resources/scholarships-for-international-students-guide,https://scholarshiptop.com/es/resources/scholarships-for-international-students-guide,https://scholarshiptop.com/fr/resources/scholarships-for-international-students-guide,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/terms,legal-help,https://scholarshiptop.com/terms,https://scholarshiptop.com/es/terms,https://scholarshiptop.com/fr/terms,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/privacy-policy,legal-help,https://scholarshiptop.com/privacy-policy,https://scholarshiptop.com/es/privacy-policy,https://scholarshiptop.com/fr/privacy-policy,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/refund-policy,legal-help,https://scholarshiptop.com/refund-policy,https://scholarshiptop.com/es/refund-policy,https://scholarshiptop.com/fr/refund-policy,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/help,legal-help,https://scholarshiptop.com/help,https://scholarshiptop.com/es/help,https://scholarshiptop.com/fr/help,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/faq,legal-help,https://scholarshiptop.com/faq,https://scholarshiptop.com/es/faq,https://scholarshiptop.com/fr/faq,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/international-students,marketing,https://scholarshiptop.com/international-students,https://scholarshiptop.com/es/international-students,https://scholarshiptop.com/fr/international-students,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/for-organizations,marketing,https://scholarshiptop.com/for-organizations,https://scholarshiptop.com/es/for-organizations,https://scholarshiptop.com/fr/for-organizations,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/submit-grant,marketing,https://scholarshiptop.com/submit-grant,https://scholarshiptop.com/es/submit-grant,https://scholarshiptop.com/fr/submit-grant,true,true,true,core/resources/essays/compare bucket,true,true,true,pilot static published
/subscription,funnel-pricing,https://scholarshiptop.com/subscription,https://scholarshiptop.com/es/subscription,https://scholarshiptop.com/fr/subscription,true,true,true,excluded (unchanged),false,false,true,indexable; UI localized; not in sitemap
/get-scholarships,funnel-noindex,https://scholarshiptop.com/get-scholarships,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
/signin,funnel-noindex,https://scholarshiptop.com/signin,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
/signin/password_signin,funnel-noindex,https://scholarshiptop.com/signin/password_signin,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
/signin/email_signin,funnel-noindex,https://scholarshiptop.com/signin/email_signin,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
/signin/forgot_password,funnel-noindex,https://scholarshiptop.com/signin/forgot_password,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
/signin/signup,funnel-noindex,https://scholarshiptop.com/signin/signup,,,false,false,false,excluded,false,false,false,"noindex,follow; not in localized sitemap"
