source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","21ba34f8-c705-483f-83b3-2be5d86245fa","edwards-family-baseball-scholarship-jbyb2lpuolei","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","21ba34f8-c705-483f-83b3-2be5d86245fa","edwards-family-baseball-scholarship-jbyb2lpuolei","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bb6f028-adfe-4597-b508-91f577b0bac4","beth-carew-memorial-scholarship-scholarships-com-beth-carew-memorial-scholarship","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bb6f028-adfe-4597-b508-91f577b0bac4","beth-carew-memorial-scholarship-scholarships-com-beth-carew-memorial-scholarship","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","d05196ac-fff6-4444-a771-8a204d1e33f4","nathan-e-rodgers-scholarship-gadsden-cvgfzc92txop","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","d05196ac-fff6-4444-a771-8a204d1e33f4","nathan-e-rodgers-scholarship-gadsden-cvgfzc92txop","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bae3b62-74f4-44da-9582-d44f4f1f97dc","svcf-bailey-family-postgraduate-scholarship-svcf-bailey-family-postgraduate-","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bae3b62-74f4-44da-9582-d44f4f1f97dc","svcf-bailey-family-postgraduate-scholarship-svcf-bailey-family-postgraduate-","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","50fe8dd8-8d46-43bc-b84c-8b2dd76477e2","faulkner-hospital-school-of-nursing-alumnae-memorial-scholarship-iq0lhbo3kddg","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","50fe8dd8-8d46-43bc-b84c-8b2dd76477e2","faulkner-hospital-school-of-nursing-alumnae-memorial-scholarship-iq0lhbo3kddg","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
