id,slug,title,provider_name,source,deadline_date,award_amount_text,apply_url_present,provider_url_present,query_exact_title,query_title_provider,query_title_scholarship,query_title_deadline_year,query_title_provider_scholarship,query_title_scholarshiptop,manual_google_url_exact_title,manual_google_url_title_provider,manual_google_url_title_scholarship,expected_replaceability_risk
416396ff-69b5-4b25-bfb2-881245407971,uncf-fedex-scholarship-program-uncf-fedex-scholarship-program,UNCF/FedEx Scholarship Program,UNCF,scholarships360,2026-05-18,"award worth $4,000",yes,no,UNCF/FedEx Scholarship Program,UNCF/FedEx Scholarship Program UNCF,UNCF/FedEx Scholarship Program scholarship,UNCF/FedEx Scholarship Program 2026,UNCF/FedEx Scholarship Program UNCF scholarship,UNCF/FedEx Scholarship Program ScholarshipStop,,,,low
b576a60c-0ea5-437f-8579-436731262b48,i-have-a-dream-foundation-dreamer-scholarship-i-have-a-dream-foundation-dreame,"""I Have a Dream"" Foundation Dreamer Scholarship",I Have a Dream Foundation,scholarships360,2026-05-06,"award worth $10,000",yes,no,"""I Have a Dream"" Foundation Dreamer Scholarship","""I Have a Dream"" Foundation Dreamer Scholarship I Have a Dream Foundation","""I Have a Dream"" Foundation Dreamer Scholarship scholarship","""I Have a Dream"" Foundation Dreamer Scholarship 2026","""I Have a Dream"" Foundation Dreamer Scholarship I Have a Dream Foundation scholarship","""I Have a Dream"" Foundation Dreamer Scholarship ScholarshipStop",,,,high
b3ed89ce-b002-4652-b468-5f4c70fbe8fb,empire-state-district-6-scholarship-empire-state-district-6-scholars,Empire State District 6 Scholarship,American Hellenic Educational Progressive Association-District 6,scholarships360,2026-05-04,"award worth $10,000",yes,no,Empire State District 6 Scholarship,Empire State District 6 Scholarship American Hellenic Educational Progressive Association-District 6,Empire State District 6 Scholarship scholarship,Empire State District 6 Scholarship 2026,Empire State District 6 Scholarship American Hellenic Educational Progressive Association-District 6 scholarship,Empire State District 6 Scholarship ScholarshipStop,,,,high
688b23fd-b478-4fcc-bfc8-fc77fce78fd2,german-cancer-research-center-dkfz-international-phd-programme-10000141,German Cancer Research Center (DKFZ): International PhD Programme,DAAD scholarship database,daad,,DAAD scholarship funding; value varies by programme,yes,yes,German Cancer Research Center (DKFZ): International PhD Programme,German Cancer Research Center (DKFZ): International PhD Programme DAAD scholarship database,German Cancer Research Center (DKFZ): International PhD Programme scholarship,German Cancer Research Center (DKFZ): International PhD Programme 2026,German Cancer Research Center (DKFZ): International PhD Programme DAAD scholarship database scholarship,German Cancer Research Center (DKFZ): International PhD Programme ScholarshipStop,,,,high
1beec4a6-60c5-4b12-b364-5e00fd2ae306,doctoral-programmes-in-germany-57135739,Doctoral Programmes in Germany,DAAD,daad,,"Monthly payments of 1,400 euros Payments towards health, accident and personal liability insurance cover (see also our important information for scholarship applicants / section F, point 4) Travel allowance annual research allowance of € 460 Under certain circumstances, you can apply for the following additional benefits after start of funding: monthly rent subsidy (please read the important scholarship information / section F, point 9) monthly allowance for accompanying family members. Please also read our important information for scholarship applicants / section F, point 3. In case of a disability or chronic illness: on application, a subsidy may be provided for justified additional costs incurred abroad that are necessary to realise the project in Germany and that are not covered by a third party; whether and to what extent a subsidy will be paid, will be reviewed and determined on an individual basis (see important information for scholarship applicants , section F, point 8) To enable you to improve your language skills in preparation for your stay in Germany, DAAD offers the following services: Payment of course fees for an online language course after receipt of the Scholarship Award Letter if necessary: Language course (2, 4 or 6 months) before the start of the research stay in Germany; the DAAD decides whether to fund the grant holder's participation and for how long depending on language skills and project. If a language course scholarship is granted and the working language at the host institute is German, participation is compulsory. Allowance for a personally chosen German language course during the grant period Reimbursement of the fee for a TestDaF or DSH test, which you can take either in your home country after you have received your Scholarship Award Letter or in Germany during your funding period. Benefits from third parties are partially credited towards the DAAD scholarship. Information on this can be found in the important scholarship information in section F, point 6.",yes,yes,Doctoral Programmes in Germany,Doctoral Programmes in Germany DAAD,Doctoral Programmes in Germany scholarship,Doctoral Programmes in Germany deadline,Doctoral Programmes in Germany DAAD scholarship,Doctoral Programmes in Germany ScholarshipStop,,,,low
16947cde-cb33-4fad-bbee-a5320fde83c2,g-ttingen-academy-of-sciences-and-humanities-hannah-arendt-fellowships-10000689,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships,DAAD scholarship database,daad,,DAAD scholarship funding; value varies by programme,yes,yes,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships DAAD scholarship database,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships scholarship,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships 2026,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships DAAD scholarship database scholarship,Göttingen Academy of Sciences and Humanities: Hannah Arendt Fellowships ScholarshipStop,,,,high
630562e4-39cc-4adf-a89f-396efcf42299,helmut-schmidt-programme-master-s-scholarships-for-public-policy-and-goo-50026397,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG),DAAD,daad,,DAAD scholarship funding; value varies by programme,yes,yes,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG),Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG) DAAD,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG) scholarship,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG) deadline,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG) DAAD scholarship,Helmut-Schmidt-Programme (Master’s Scholarships for Public Policy and Good Governance - PPGG) ScholarshipStop,,,,high
4d8daed2-4bb3-411a-a82e-56e058838359,combined-study-and-practical-stays-for-engineers-from-developing-countri-57471578,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG),DAAD,daad,,"Co-financing between the Argentine Ministry of Education (ME) and the DAAD. 2-month intensive language course in Germany including accommodation costs and pocket money of 460,- Euro per month (DAAD) One-time study and research grant of 460,- Euro (DAAD) Travel allowance for outward and return journey (DAAD) Monthly scholarship instalment of 1120 euros for 10 months (ME) Health, accident and liability insurance (DAAD)",yes,yes,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG),Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG) DAAD,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG) scholarship,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG) deadline,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG) DAAD scholarship,Combined study and practical stays for engineers from developing countries (KOSPIE) in cooperation with the Argentine Ministry of Education (ALEARG) ScholarshipStop,,,,high
7854867a-6ae7-481d-8167-146277030092,angolan-german-postgraduate-training-programme-57588180,Angolan-German Postgraduate Training Programme,DAAD,daad,,"The scholarship covers: Monthly scholarship rate (for accommodation, food etc.) of 934 Euro Travel allowance (outward and return journey) Health insurance, accident and liability insurance, care insurance One-off study allowance Preparatory German language and scientific working course in Germany including all costs (lump-sum, accommodation) Travel allowance for family visit Travel costs to host institution during language course Further allowances (Rent subsidy etc.)",yes,yes,Angolan-German Postgraduate Training Programme,Angolan-German Postgraduate Training Programme DAAD,Angolan-German Postgraduate Training Programme scholarship,Angolan-German Postgraduate Training Programme 2023,Angolan-German Postgraduate Training Programme DAAD scholarship,Angolan-German Postgraduate Training Programme ScholarshipStop,,,,high
5211405b-8836-443a-9029-c47255b8757b,future-ukraine-research-grants-for-ukrainian-master-s-students-and-resea-57650857,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers,DAAD,daad,,"Depending on academic level, monthly payments of - €992 for graduates (Master's students) - €1,400 for doctoral candidates - €2,000 for postdocs - €2,150 for experienced researchers with a doctorate and university teachers - €2,300 for professors if applicable: Payments towards health, accident and personal liability insurance cover if applicable: Travel allowance in the case of a disability or chronic illness: subsidy for additional costs which result from the disability or chronic illness and are not covered by other funding providers: Further information",yes,yes,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers DAAD,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers scholarship,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers 2026,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers DAAD scholarship,Future Ukraine: Research Grants for Ukrainian Master´s students and researchers ScholarshipStop,,,,high
