id,title,provider,url,quality_score,reasons
8599cf63-743d-485f-ab4e-bd97b27f0f41,School of Health & Psychological Sciences Dean's Scholarship for Academic and Clinical Excellence,"City St George's, University of London",https://www.mastersportal.com/scholarships/9403/school-of-health-psychological-sciences-deans-scholarship-for-academic-and-clinical-excellence.html,5,exact_duplicate_group;near_duplicate;parser_garbage
8c8bb946-4d52-49f9-9d21-740425434b1b,NL Scholarship,University of Twente (UT),https://www.mastersportal.com/scholarships/3540/nl-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
9365cbd1-b3ef-4159-9a7f-5f7d38db92c3,Scholarship for degree and exchange study in Estonia,The Education and Youth Board,https://www.mastersportal.com/scholarships/8747/scholarship-for-degree-and-exchange-study-in-estonia.html,5,exact_duplicate_group;near_duplicate;parser_garbage
9e2ce08e-b8f4-434e-946f-309fbae148e0,Vice-Chancellor's Postgraduate International Scholarship,Cardiff University,https://www.mastersportal.com/scholarships/7921/vice-chancellors-postgraduate-international-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
a05aafbd-4d6a-4178-aad4-c90b0123e1e0,Vice Chancellor's Postgraduate International Scholarship,University of Stirling,https://www.mastersportal.com/scholarships/1199/vice-chancellors-postgraduate-international-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
a9bf9a90-499f-4bd7-8a9a-2a62b07f9136,"International Summer School, 2018",University of East Anglia Summer School,"https://www.iefa.org/scholarships/3065/International_Summer_School,_2018",5,anti_keywords;exact_duplicate_group;near_duplicate
ad35c98b-270d-4d7b-a81b-dd8ae01a7938,International Student Scholarships,Colorado State University,https://www.mastersportal.com/scholarships/778/international-student-scholarships.html,5,exact_duplicate_group;near_duplicate;parser_garbage
b1a1bbf3-3fd5-4595-ad39-3516f436bf29,NL Scholarship,University of Groningen,https://www.mastersportal.com/scholarships/1316/nl-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
b2d8d938-a9a9-4cfa-9f4c-1e4287a1d777,International Masters Scholarship,Edith Cowan University,https://www.mastersportal.com/scholarships/10945/international-masters-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
b982cf8f-cc8d-4c59-a798-d23944a02812,Global Excellence Scholarship,University College Dublin,https://www.mastersportal.com/scholarships/4159/global-excellence-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
