url,type,sourceType,score,status,titleLength,metaDescriptionLength,scholarshipResultsCount,indexable,issues
/compare/universities/austin-community-college-vs-midlands-technical-college,compare,internal,70,medium,72,152,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/florida-gateway-college-vs-university-of-north-florida,compare,internal,85,good,59,135,,true,result_count_unavailable_internal_context
/compare/universities/cuyahoga-community-college-vs-waubonsee-community-college,compare,internal,85,good,57,128,,true,result_count_unavailable_internal_context
/compare/universities/austin-community-college-vs-florida-gateway-college,compare,internal,70,medium,69,147,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/midlands-technical-college-vs-waubonsee-community-college,compare,internal,85,good,62,134,,true,result_count_unavailable_internal_context
/compare/universities/massasoit-community-college-vs-worcester-state-university,compare,internal,85,good,62,139,,true,result_count_unavailable_internal_context
/compare/universities/eastern-florida-state-college-vs-massasoit-community-college,compare,internal,85,good,65,145,,true,result_count_unavailable_internal_context
/compare/universities/massachusetts-bay-community-college-massbay-vs-worcester-state-university,compare,internal,70,medium,70,142,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/eastern-florida-state-college-vs-massachusetts-bay-community-college-massbay,compare,internal,85,good,46,136,,true,result_count_unavailable_internal_context
/compare/universities/florida-gateway-college-vs-waubonsee-community-college,compare,internal,70,medium,72,146,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/university-of-south-florida-vs-worcester-state-university,compare,internal,85,good,62,140,,true,result_count_unavailable_internal_context
/compare/universities/austin-community-college-vs-university-of-north-florida,compare,internal,70,medium,73,145,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/eastern-florida-state-college-vs-university-of-south-florida,compare,internal,85,good,65,150,,true,result_count_unavailable_internal_context
/compare/universities/the-college-of-the-florida-keys-vs-worcester-state-university,compare,internal,70,medium,66,145,,true,result_count_unavailable_internal_context|title_length_out_of_range
/compare/universities/massachusetts-bay-community-college-massbay-vs-massasoit-community-college,compare,internal,70,medium,71,145,,true,result_count_unavailable_internal_context|title_length_out_of_range
/providers,provider,internal,40,bad,21,86,,true,result_count_unavailable_internal_context|title_length_out_of_range|meta_description_length_out_of_range|faq_missing
/providers/loyola-university-chicago,provider,internal,70,medium,48,663,612,true,meta_description_length_out_of_range|faq_missing
/providers/tarleton-state-university,provider,internal,70,medium,48,520,541,true,meta_description_length_out_of_range|faq_missing
/providers/stetson-university,provider,internal,70,medium,41,566,358,true,meta_description_length_out_of_range|faq_missing
/providers/alamo-colleges-foundation,provider,internal,70,medium,48,1023,326,true,meta_description_length_out_of_range|faq_missing
/providers/johnson-county-community-college,provider,internal,70,medium,55,551,300,true,meta_description_length_out_of_range|faq_missing
/providers/pensacola-state-college,provider,internal,70,medium,46,508,269,true,meta_description_length_out_of_range|faq_missing
